
 undefined  /api/users GET
 17/9/2024  /api/users POST
 17/9/2024 ::ffff:127.0.0.1 /api/users POST
 17/9/2024 ::ffff:127.0.0.1 /api/user POST
 17/9/2024 ::ffff:127.0.0.1 /api/user POST
 17/9/2024 ::ffff:127.0.0.1 /api/users POST
 17/9/2024 ::ffff:127.0.0.1 /api/users POST
 17/9/2024 ::ffff:127.0.0.1 /api/users POST
 17/9/2024 ::ffff:127.0.0.1 /api/users POST
 17/9/2024 ::ffff:127.0.0.1 /api/users POST
 17/9/2024 ::ffff:127.0.0.1 /api/users POST
 17/9/2024 ::ffff:127.0.0.1 /api/users POST
 17/9/2024 ::ffff:127.0.0.1 /api/users POST
 17/9/2024 ::ffff:127.0.0.1 /api/users POST
 17/9/2024 ::ffff:127.0.0.1 /api/users POST
 17/9/2024 ::ffff:127.0.0.1 /api/users POST
 17/9/2024 ::1 /users/ GET
 17/9/2024 ::1 /api/users GET
 17/9/2024 ::ffff:127.0.0.1 /api/users POST
 17/9/2024 ::1 /api/users GET
 17/9/2024 ::1 /api/users/66e92f2bea5ff9272a0f482f GET
 17/9/2024 ::1 /api/users/66e92f2bea5ff9272a0f482f GET
 17/9/2024 ::1 /api/users/66e92f2bea5ff9272a0f482f GET
 17/9/2024 ::1 /api/users/66e92f2bea5ff9272a0f482f GET
 17/9/2024 ::1 /api/users/66e92f2bea5ff9272a0f482f GET
 17/9/2024 ::ffff:127.0.0.1 /api/users/66e92f2bea5ff9272a0f482f PATCH
 17/9/2024 ::1 /api/users/66e92f2bea5ff9272a0f482f GET
 17/9/2024 ::ffff:127.0.0.1 /api/users/66e92f2bea5ff9272a0f482f DELETE
 17/9/2024 ::ffff:127.0.0.1 /api/users/66e92f2bea5ff9272a0f482f DELETE
 17/9/2024 ::ffff:127.0.0.1 /api/users/66e92f2bea5ff9272a0f482f DELETE
 17/9/2024 ::1 /api/users/66e92f2bea5ff9272a0f482f GET
